cluster,violations,frequency_score,is_peak_hour,peak_score,recurrence_score,growth_score,risk_score,risk_level,violation_density,priority_score,priority_rank,officer_share,allocated_officers
2,76482,100.0,0.208924975811302,20.8924975811302,100.0,0.4484304932735426,65.29038896927358,High,100.0,75.70327227849151,1,0.12087480960380313,12
4,45179,59.07141549645668,0.1367892162287788,13.678921622877883,100.0,0.8968609865470852,47.18282575228421,Medium,59.07141549645668,50.74940267553595,2,0.0810311655135019,8
3,32228,42.13801940325828,0.1156447809358321,11.56447809358322,100.0,1.345291479820628,39.94812100667222,Low,42.13801940325828,40.60509052564804,3,0.06483382340696223,6
5,4253,5.56078554431108,0.5541970373853751,55.41970373853751,100.0,96.41255605381166,50.54112356043056,Medium,5.56078554431108,37.04702215559472,4,0.05915268408704802,6
9,17784,23.25253000706049,0.1423189383715699,14.231893837156996,98.68421052631578,2.242152466367713,32.93215043733176,Low,23.25253000706049,30.02826430825037,5,0.04794588954675457,5
46,6212,8.122172537329044,0.0589182227945911,5.891822279459111,90.78947368421052,98.65470852017935,37.67792559966541,Low,8.122172537329044,28.8111996809645,6,0.046002612186728215,5
15,2119,2.7705865432389323,0.2387918829636621,23.87918829636621,87.5,100.0,39.578031691387125,Low,2.7705865432389323,28.535798146942668,7,0.04556288075917482,5
19,2242,2.9314086974713005,0.5472792149866191,54.72792149866192,90.78947368421052,38.78923766816144,38.83082424072032,Low,2.9314086974713005,28.06099957774561,8,0.04480477367972485,4
113,207,0.2706519180983761,0.6570048309178744,65.70048309178745,44.73684210526316,92.37668161434978,39.33725220339131,Low,0.2706519180983761,27.617272117803427,9,0.04409627759201044,4
44,1094,1.430401924635862,0.3820840950639854,38.20840950639854,69.07894736842105,98.20627802690582,38.67099432417406,Low,1.430401924635862,27.4988166043126,10,0.043907140620664586,4
20,2114,2.764049057294527,0.4262062440870388,42.62062440870388,78.28947368421053,66.14349775784754,37.34019512561302,Low,2.764049057294527,26.96735130511747,11,0.043058554226473915,4
83,844,1.103527627415601,0.8021327014218009,80.2132701421801,65.78947368421053,20.62780269058296,36.746793726940815,Low,1.103527627415601,26.05381389708325,12,0.041599916350744184,4
42,906,1.1845924531262255,0.3719646799116998,37.19646799116998,61.18421052631579,97.30941704035877,36.60620864035996,Low,1.1845924531262255,25.97972378418984,13,0.041481617259833424,4
70,1537,2.0096231793101644,0.1717631750162654,17.176317501626546,85.52631578947368,89.23766816143498,35.58884202924069,Low,2.0096231793101644,25.51507637426153,14,0.040739718455229945,4
21,5057,6.612013284171439,0.3027486652165315,30.27486652165316,96.71052631578948,25.112107623318387,33.322443350737515,Low,6.612013284171439,25.30931433076769,15,0.04041117984543892,4
45,977,1.27742475353678,0.2732855680655066,27.328556806550665,69.73684210526315,92.82511210762333,35.214244340248506,Low,1.27742475353678,25.033198464234985,16,0.03997030784887646,4
81,961,1.256504798514683,0.2965660770031217,29.656607700312176,59.210526315789465,99.10313901345292,34.62432995965975,Low,1.256504798514683,24.613982411316226,17,0.03930094892878907,4
146,311,0.4066316257420047,0.4823151125401929,48.231511254019296,44.73684210526316,91.03139013452916,34.82260740503363,Low,0.4066316257420047,24.49781467124614,18,0.03911546482697349,4
204,63,0.0823723228995057,0.8095238095238095,80.95238095238095,3.947368421052632,88.34080717488789,34.31163892769875,Low,0.0823723228995057,24.04285894625897,19,0.03838904065823107,4
59,2022,2.6437593159174706,0.2720079129574678,27.200791295746782,88.81578947368422,46.63677130044843,32.61637514010779,Low,2.6437593159174706,23.624590392850696,20,0.03772119460303687,4
